title,year,platform,episodes,avgTime,genre,info3
The Last of Us,2023,HBO Max,9,50,Dramat,Postapokaliptyczna podróż
Stranger Things,2016,Netflix,42,50,Sci-Fi,Przygoda w klimacie lat 80.
The Bear,2022,Disney+,18,35,Dramat,Chaotyczna kuchnia w Chicago
The Boys,2019,Prime Video,24,60,Akcja,Cyniczna satyra o superbohaterach
Severance,2022,Apple TV+,9,55,Sci-Fi,Mroczna zagadka korporacji
Arcane,2021,Netflix,9,42,Animacja,Historia z uniwersum League of Legends
Sherlock,2010,Netflix,13,88,Kryminal,Unowocześniony Sherlock Holmes
Dark,2017,Netflix,26,55,Sci-Fi,Mroczne podróże w czasie
Wiedźmin,2019,Netflix,24,60,Fantasy,Przygody Geralta z Rivii
Dom z Papieru,2017,Netflix,41,45,Thriller,Napad stulecia w Hiszpanii
